PETSc, serial, CONVERGED, 0.000000, 7000, 7, 1, 0.544884, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 7000 |
PETSc, parallel, CONVERGED, 0.016508, 7000, 7, 2, 9.368244,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 7000 |
PETSc, parallel, CONVERGED, 0.009569, 7000, 7, 2, 11.224033,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 7000 |
PETSc, serial, CONVERGED, 0.000000, 8000, 7, 1, 0.567126, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 8000 |
PETSc, serial, CONVERGED, 0.000000, 8000, 7, 1, 0.663759, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 8000 |
PETSc, parallel, CONVERGED, 0.252773, 8000, 6, 2, 3.153300,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 8000 |
PETSc, parallel, CONVERGED, 0.021703, 8000, 7, 2, 9.445855,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 8000 |
PETSc, serial, CONVERGED, 0.000000, 9000, 7, 1, 0.595673, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 9000 |
PETSc, serial, CONVERGED, 0.000000, 9000, 11, 1, 1.606054, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 9000 |
PETSc, parallel, CONVERGED, 0.277868, 9000, 6, 2, 3.151115,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 9000 |
PETSc, parallel, CONVERGED, 17.618317, 9000, 5, 2, 0.650632,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 9000 |
PETSc, serial, CONVERGED, 0.000000, 10000, 7, 1, 0.857472, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 10000 |
PETSc, serial, CONVERGED, 0.000000, 10000, 7, 1, 1.003498, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 10000 |
PETSc, parallel, CONVERGED, 9.101160, 10000, 5, 2, 0.199542,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 10000 |
